market,node_id,node_name,delay_days,leakage_rate,cost_per_patient,vica_delay_multiplier,vica_leakage_multiplier,vica_cost_multiplier,unit,min_value,max_value,editable,source_type,evidence_strength,parameter_note
US,N1,Symptom Onset,90,0.12,220,1.00,1.00,1.00,"days|rate|currency",30,180,yes,literature,weak,"Early pathway delay is likely to require literature and expert calibration."
US,N2,Risk Screening,21,0.18,140,1.00,1.00,1.00,"days|rate|currency",7,45,yes,claims,moderate,"Screening gap proxy; may be refined with claims or registry data."
US,N3,Specialist Referral,28,0.14,260,1.00,1.00,1.00,"days|rate|currency",14,60,yes,claims,moderate,"Referral bottleneck likely varies by payer and access."
US,N4,Diagnosis Confirmation,20,0.10,340,1.00,1.00,1.00,"days|rate|currency",10,60,yes,claims,moderate,"Diagnosis timing may require calibration using literature and registry benchmarks."
US,N5,Treatment Initiation,18,0.12,420,0.85,0.80,0.85,"days|rate|currency",5,60,yes,claims,strong,"First-line initiation node; high commercial relevance."
US,N6,Clinical Inertia,120,0.28,680,0.85,0.80,0.85,"days|rate|currency",30,365,yes,literature_proxy,weak,"Critical node; likely needs proxy assumptions and expert validation."
US,N7,Hospital Transition,14,0.16,710,0.85,0.80,0.85,"days|rate|currency",3,30,yes,claims,moderate,"Post-discharge continuity and restart failure important to model."
US,N8,Adherence & Monitoring,30,0.20,390,0.85,0.80,0.85,"days|rate|currency",15,90,yes,claims,moderate,"Refill gaps and discontinuation can be strengthened with pharmacy data."
US,N9,HHF Event & Readmission,10,0.08,14000,0.85,0.80,0.85,"days|rate|currency",3,30,no,claims_registry,strong,"Highest-cost downstream node; strong empirical basis expected."
Germany,N1,Symptom Onset,85,0.10,180,1.00,1.00,1.00,"days|rate|currency",30,180,yes,literature,weak,"Early symptom misattribution likely needs literature and expert validation."
Germany,N2,Risk Screening,25,0.20,120,1.00,1.00,1.00,"days|rate|currency",7,45,yes,claims_proxy,weak,"Screening barriers may depend on reimbursement and test access."
Germany,N3,Specialist Referral,30,0.15,210,1.00,1.00,1.00,"days|rate|currency",14,60,yes,claims,moderate,"Referral wait time sensitive to setting and insurance status."
Germany,N4,Diagnosis Confirmation,20,0.11,300,1.00,1.00,1.00,"days|rate|currency",10,60,yes,registry_claims,moderate,"HFpEF confirmation often less straightforward than HFrEF."
Germany,N5,Treatment Initiation,11,0.10,350,0.85,0.80,0.85,"days|rate|currency",5,60,yes,claims,strong,"Treatment split can later be expanded by GP versus cardiologist initiation."
Germany,N6,Clinical Inertia,95,0.25,590,0.85,0.80,0.85,"days|rate|currency",30,365,yes,literature_proxy,weak,"Likely needs structured expert assumption and sensitivity testing."
Germany,N7,Hospital Transition,18,0.18,620,0.85,0.80,0.85,"days|rate|currency",3,30,yes,claims,moderate,"Intersectoral failure is especially relevant in Germany."
Germany,N8,Adherence & Monitoring,25,0.08,270,0.85,0.80,0.85,"days|rate|currency",15,90,yes,claims,moderate,"Monitoring and discontinuation dynamics may differ from US."
Germany,N9,HHF Event & Readmission,9,0.07,9000,0.85,0.80,0.85,"days|rate|currency",3,30,no,claims_registry,strong,"German HHF cost is a key evidence gap and priority output."
